year,age,people
0,0,2934165
0,5,2770735
0,10,2476213
0,15,2187752
0,20,2021122
0,25,1662029
0,30,1370274
0,35,1093499
0,40,904096
0,45,725465
0,50,607923
0,55,381288
0,60,337212
0,65,212361
0,70,145439
0,75,81063
0,80,76923
90,0,10584300
90,5,9857942
90,10,9122634
90,15,9158423
90,20,9085315
90,25,8203908
90,30,6953345
90,35,6516508
90,40,5331496
90,45,4478731
90,50,3900108
90,55,2826009
90,60,2280118
90,65,1664027
90,70,1105559
90,75,673579
90,80,511348
180,0,19046094
180,5,20621710
180,10,20585757
180,15,19930088
180,20,19055559
180,25,19178000
180,30,20325175
180,35,23110829
180,40,22808830
180,45,20186259
180,50,17419067
180,55,13380350
180,60,10792360
180,65,9258407
180,70,8977000
180,75,7268299
180,80,9476933
